Datetime,Text,Like
2022-07-23 05:34:26+00:00,"내새끼
활력한방울
혜화역가볼만한곳
제페토
나주카페
라벤더
쌀미음
에스테틱
수도권나들이 https://t.co/QXNqxqkAsC",0
2022-07-23 05:21:27+00:00,제페토 카모 https://t.co/pnlpnj0dne,4
2022-07-23 05:03:30+00:00,심심해서 제페토 하고싶다,0
2022-07-23 04:50:10+00:00,"❧ DAY 6: MASQUERADE 

Find a mask and wear it well, so your true identity no one can tell.

#ZEPETO #제페토 #ゼペット  #ECICUT7DaysChallenge
#7DaysFashionChallenge https://t.co/yQTqGomcX2",18
2022-07-23 04:29:51+00:00,"#제페토_트친소 
제페토 뉴비... 사진 보정 좋아해요 취향 맞는 분 찾아갈게용 https://t.co/Lzv3dJjh2c",54
2022-07-23 04:25:31+00:00,"Day 6 : Masquerade

Presenting, Lady Hallie Mackey~

In Frame : 
— Mahalia Noel Mackey a.k.a Hallie

#ECICUT7DaysChallenge 
#ZEPETO #제페토 https://t.co/n6pdr4nEtk",14
2022-07-23 04:24:14+00:00,"@corgi_meta PFP 자체 만으로는 바닥가라는게 의미없지 싶습니다.

라인이나 제페토처럼 같이 따라가주는 비지니스모델이 있어야 수익성이라는게 생길겁니다.

플랫폼이 없으면 NFT는 블록체인 기반의 디지털 데이터 밖에 안될테니까요. 가치를 부여하는 새로운 무언가가 나와주길 바라고 있습니다 😃",2
2022-07-23 04:21:22+00:00,"제페토
섹트
궈궈궈
뛸때만비안와
경매
부천카페
인테리어 https://t.co/D4kglHKxnC",0
2022-07-23 04:13:18+00:00,@nicedayforus 님 요즘은 제페토 안 해요? ㅠㅠ,0
2022-07-23 03:53:38+00:00,"Arabian nights. 👳

https://t.co/amjCFMBiKA

#ZEPETO #ゼペット #제페토 @zepeto_official @zepeto_kr @zepeto_jp https://t.co/TuAl8y8B9y",13
2022-07-23 03:41:08+00:00,제페토 사이버 오프 개웃김ㅠㅜ,2
2022-07-23 03:39:28+00:00,저랑 제페토맞팔하싳분 사이버오프헤드림 https://t.co/4nf3uAAlZL,1
2022-07-23 03:32:38+00:00,@str1ike_ 나도 친구한테 제페토 영업 당했는데 ㅋ ㅋㅋ 큐ㅜㅜ 제페토 은근 재밋지 않아?!!,0
2022-07-23 03:17:31+00:00,@str1ike_ @Miaoo_o_ 나 예전에 제페토 현질했었는데,1
2022-07-23 03:16:42+00:00,"고예나 때문에 제페토 영업 당함 
@Miaoo_o_ https://t.co/U2NrmaPphj",1
2022-07-23 03:02:23+00:00,"7 𝑫𝒂𝒚𝒔 𝑭𝒂𝒔𝒉𝒊𝒐𝒏 𝑪𝒉𝒂𝒍𝒍𝒆𝒏𝒈𝒆
by @kampoengecicut 🦋

⋆ ˚｡⋆୨ Day six : Masquerade ❤️‍🔥 ୧˚

in frame : Nini @.dolleatte

#ZEPETO #ゼペット #제페토 #ECICUT7DaysChallenge https://t.co/wjecBOEpzK",20
2022-07-23 03:01:28+00:00,"+
제페토는 사실 긴가민가 했는데
라인 동물아바타는 매우 만족스러웠다. 

UX개선만 좀 되었으면! 중간에 커스텀 과정에서 살짝 헤맸당.",13
2022-07-23 02:46:54+00:00,"DAY 6 : MAQUERADE

Anggap sja msup tema yh

@zepeto_official
@zepeto_kr 
@zepeto_jp 

#ZEPETO #제페토 #ゼペット #evefit #ECICUT7DaysChallenge
#7DaysChallenge https://t.co/b2lduHTIP1",15
2022-07-23 02:41:31+00:00,"ZEPETO TAROT CARD 
Id : everyyayy 

Zepeto : 
https://t.co/hZwt7qGUZQ

#ZEPETO_TAROT #TAROT #TarotCard 
#ZEPETO #제페토 #ゼペット https://t.co/iak3LIkJWT",8
2022-07-23 02:25:32+00:00,"#zepeto #제페토 

젶클래스 2주차.........1부..
분량어쩔거임 https://t.co/lbLYnwGaGX",10
2022-07-23 02:22:19+00:00,"@PpPp_zpt 파피님!!!!! 생일 축하해요!!!!!!!!!!!!!!!!!!!
생일선물은 제가 거사 치르고 따로 연락드리겠습미다/.. 무조건 받으셔야 함 (안받으면 진짜로 진짜로 제페토 판 떠날 거임) 미리 약속하세요
선물 받겠다고 지금 당장 약속하세요. 거사 지금 몇달 안 남았으니까 조금만 기다려... 응응... https://t.co/zmZDktxsAT",1
2022-07-23 02:06:45+00:00,#애기야가자 #뚜야 #제페토 https://t.co/aRxCitk8nA,0
2022-07-23 02:06:20+00:00,#애기야가자 #뚜야 #제페토 https://t.co/l9ZPeuwPZK,0
2022-07-23 01:49:04+00:00,"다들 마계에 찐탱인 사람들🌝
https://t.co/O70avookqO
#제페토 #ZEPETO 
(음악출처:유튜브 일상의효정_7대죄악) https://t.co/vXfed7HUjU",5
2022-07-23 01:37:59+00:00,"제페토
골든구스프란시
집들이선물
우수시나리오상
디올CD
라이트복원
블랙
내삶
서관덕
매터니티스쿨24기1차 https://t.co/C9zhbBf2Py",0
2022-07-23 01:21:30+00:00,제덕쓰 챌린지중에 조와하는 모먼트😘🔫🔫🔫 저 표정 넘무 조아  #zepeto #제페토 #ゼペット https://t.co/93AprRPL2s,12
2022-07-23 01:10:23+00:00,"#제페토
https://t.co/qQxxxduWJ7",1
2022-07-23 01:01:00+00:00,"군포
청도군유흥업소
보령용역
깜짝선물
헬스
김제소개팅
제페토 https://t.co/tLKcn1RWSW",0
2022-07-23 00:44:50+00:00,"클래스 과제한 건데 많이 안 건드렸는데도 확 바뀌니까 기분 좋군 

#제페토 #ZEPETO https://t.co/ZX3gJzYEhz",18
2022-07-23 00:24:10+00:00,"브랜드런칭
기요미
제페토
홍천지도
이밤에커피
고양
영어강사그램
깜놀 https://t.co/LKtxpW351E",0
2022-07-23 00:12:28+00:00,모닝 제페토 하러가겟눕ㅁ다,0
